"No.","Time","Source","Destination","Protocol","Length","Info"
"400817","3198.214221146","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3128)"
"400819","3198.214588132","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400828","3199.217865557","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400830","3199.220809977","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3129) [Deviceb'Device - 1']"
"400831","3199.221222569","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400834","3199.223789193","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3129)"
"400836","3199.224327323","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400850","3200.228354983","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400852","3200.231313279","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3130) [Deviceb'Device - 1']"
"400853","3200.231699932","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400856","3200.234150426","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3130)"
"400858","3200.234671674","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400872","3201.242481663","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400874","3201.245397609","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3131) [Deviceb'Device - 1']"
"400875","3201.245847552","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400878","3201.248182717","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3131)"
"400880","3201.249171301","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400892","3202.253011351","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400894","3202.256384914","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3132) [Deviceb'Device - 1']"
"400896","3202.260192269","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400898","3202.262612846","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3132)"
"400900","3202.263660191","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400915","3203.267675446","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400917","3203.270702823","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3133) [Deviceb'Device - 1']"
"400918","3203.271102741","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400921","3203.273586939","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3133)"
"400923","3203.274548331","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400939","3204.278436538","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400941","3204.283039811","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3134) [Deviceb'Device - 1']"
"400942","3204.283373423","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
